Radius Walk-Length Walk-Length-Uncertainty Observed-Time Observed-Time-Uncertainty
200 1.28e+03 62.4 60 1.21
251 1.59e+03 78 62.5 1.22
315 1.9e+03 97.3 61.3 1.23
395 2.39e+03 121 60.9 1.25
496 2.97e+03 149 62.3 1.27
622 3.71e+03 183 64.3 1.31
781 4.49e+03 221 67.1 1.38
980 5.01e+03 261 74 1.47
1.23e+03 6.09e+03 296 80.3 1.6
1.54e+03 6.09e+03 314 80.5 1.68
1.94e+03 5.89e+03 294 76.4 1.59
2.43e+03 5.53e+03 247 72.9 1.44
3.05e+03 3.46e+03 187 64.2 1.32
3.83e+03 2.49e+03 113 61.4 1.24
4.8e+03 380 19.2 60.5 1.2
